,,
,,
1785,Estimation of Transformer Winding Series Capacitance Using Frequency Response Analysis,"P, MUBARIS; Muhammed P. E, Dr. Ashiq *; Mathew, Boney; K V, Dr. Shihabudheen"
1888,Droop-Augmented Distributed Model Predictive Control for PV-Hydrogen DC Microgrid,"Uniyal, Amit; Lamba, Ravita*"
,,
,,
,,
,,
CRC 5-1,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
842,Enhanced LVRT Capability of Grid-Connected DFIG Wind Turbines Using Crowbar-Coordinated Fuzzy-PI Control,"RANA, RAJKUMAR*; Chakraborty, Arindam;  Maity, Tanmoy"
843,Battery Energy Storage for Renewable Energy Penetration in India,"Kumar, Veepin*; Suman, Ravi Kumar; Kumar, Rajesh; Jain, Himanshu; Choudhary, Deepak; Kumar, Chejarla Aswani"
849,SSS-NLMS Algorithm-Based Control Topology for Enhancing the Performance of the DFIG During Grid Disturbances,"Chakraborty,  Arindam*; Maity, Tanmoy"
867,Decentralized Active Disturbance Rejection Control for Hybrid Energy Storage Based Grid Forming Inverter System,"Panda, Mrutunjaya*; Chankaya, Mukul; Kumar, Prashant; Devara, Vijaya Bhaskar"
914,A Disturbance-Rejection Synchronization Technique for Bidirectional PV-BES Converters Using Conjugate Third Order Genralised Integrator based FLL,"Singh, Akhand Pratap*; Bansal, Yashasvi; Singh, Bhim"
919,Dynamic State Estimation of PMSG-based Aggregated Wind Farm in Connected Power Systems Under Varying Wind Speed and Grid Disturbances,"Prashant*; Mir, Abdul Saleem; Das, Biswarup"
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
81,Hybrid Differential and Adaptive Overcurrent Relay Strategy for Enhanced Fault Protection in Grid-Connected and Islanded Microgrids,"Kite, Mrunali*;  Wakte, Ganesh; Pande, Mukul; Sakhare, Minakshi"
145,A Modified Single Carrier Based PWM Strategy for Modular Multilevel Converters With Improved Harmonic Performance and Capacitor Voltage Balancing,"Gogoi, Diptakantha*; Dash, Jyoti Ranjan; Agarwal, Pramod"
173,Enhanced SEPIC Converter for Renewable Energy-Fed Electric Vehicle Applications Using Coupled Inductors,"RAJESH, DUDDU*; Suresh, D"
179,Design of Dual Switch High Gain SEPIC Based DC-DC Converter,"Pohiya, Aayushi*; Shukla, Kapil"
